feature,importance
semicolon_ratio,0.037048215980264795
quote_ratio,0.03268900941992364
first_line_pattern,0.031680315130219364
json_parse_success,0.03150386177558054
has_svg_tag,0.02964688272179374
has_public_word,0.026929307082075738
has_include,0.026807081561651454
csv_like_line_ratio,0.02546066369247131
has_html_tag,0.02526636884676974
makefile_command_ratio,0.024524665023650815
kw_dockerfile_ratio,0.02439475030247328
has_package,0.02422454593275207
has_import,0.024018284668297623
sql_statement_ratio,0.023816699223172304
kw_rust_ratio,0.023689065901987254
kw_swift_ratio,0.022889560293967968
colon_key_value_ratio,0.022466662316139745
kw_php_ratio,0.022037581929392595
html_tag_ratio,0.021740286586911833
has_namespace,0.021662398590010876
js_import_from_count,0.020669697315856776
has_def_word,0.02007990814895729
kw_ruby_ratio,0.019554406120467445
colon_ratio,0.018993274113243218
dollar_ratio,0.018605011181453326
kw_lua_ratio,0.018337971321721214
brace_ratio,0.01804621762310394
makefile_variable_ratio,0.01766843761781609
kw_makefile_ratio,0.016937843939587038
paren_ratio,0.016802604000112315
first_line_length,0.016480793113751363
equal_key_value_ratio,0.016176383211120204
kw_kotlin_ratio,0.014702462293819564
kw_r_ratio,0.014043706650908157
indentation_line_ratio,0.01316633245059601
comma_ratio,0.011199673057003602
kw_javascript_ratio,0.009683534986605338
special_char_ratio,0.009338808563234052
markdown_link_count,0.007623998558009925
kw_perl_count,0.007610155834758658
markdown_heading_ratio,0.007034863823457176
kw_python_ratio,0.006873721176266575
at_ratio,0.006823725392182462
bracket_ratio,0.006706904610685378
comment_line_ratio,0.006538730732133574
kw_csharp_ratio,0.006408883585942282
underscore_ratio,0.006369105348322619
kw_perl_ratio,0.005720474538556214
avg_line_length,0.005619895584904833
empty_line_ratio,0.005346480367778911
ts_type_annotation_count,0.005180804696650992
assignment_line_ratio,0.005159656972194219
num_chars,0.005133316216858403
hash_ratio,0.00467260733315397
markdown_list_ratio,0.004552638607979187
sql_clause_count,0.0037808409092731535
js_arrow_count,0.0036437818207030216
max_line_length,0.0035726773337785064
kw_shell_ratio,0.0034395762011830565
num_non_empty_lines,0.0034363068598903365
kw_scala_ratio,0.003269205371003032
equal_ratio,0.003191728613090435
has_xml_declaration,0.002892881018550119
num_lines,0.0028738296548935934
has_body_tag,0.0026904319405874895
tab_ratio,0.002370338916753292
kw_latex_count,0.0023535999046822038
makefile_target_ratio,0.0023345456345053414
kw_dockerfile_count,0.002323920888718338
kw_cpp_ratio,0.0022429651136907304
kw_javascript_count,0.002194438363413788
kw_shell_count,0.002185905949971034
kw_swift_count,0.002111962469215217
kw_php_count,0.002104181933549614
kw_sql_ratio,0.0020940798200360772
kw_ruby_count,0.0019211600277004874
kw_typescript_ratio,0.0018581874277554353
js_require_count,0.001745457105852967
kw_rust_count,0.0016929340328797992
kw_java_ratio,0.001639333592509594
kw_cpp_count,0.0016284365624745039
kw_python_count,0.0014732079583627384
js_export_count,0.0014042097751229858
kw_go_ratio,0.0012815220174091143
kw_scala_count,0.0011647105705454852
kw_r_count,0.0011459984666492577
kw_c_ratio,0.001143449206631995
has_class,0.00113626818150662
has_curly_braces,0.0010711459613203655
kw_typescript_count,0.0009353188077721185
markdown_code_fence_count,0.0008188862610968156
kw_kotlin_count,0.000796069553474958
kw_c_count,0.0007464676424323988
kw_go_count,0.0005566000298729437
has_semicolon,0.0005462376096438495
kw_sql_count,0.0005049923195084486
has_square_brackets,0.0004790984883902133
kw_lua_count,0.0004658047009433261
kw_java_count,0.00036290322580645164
kw_makefile_count,0.0003547032652723006
has_function_word,0.0003356112227079975
kw_csharp_count,0.0003335729204194423
ts_interface_count,0.0003115768639962188
has_shebang,0.0002998224673264336
js_console_count,0.0002457497820401047
ts_type_alias_count,0.00013412916638723234
has_mime_boundary,0.0
has_from_header,0.0
has_vcalendar,0.0
has_viewbox,0.0
has_doctype,0.0
kw_latex_ratio,0.0
