feature,importance
json_parse_success,0.04348440939701665
semicolon_ratio,0.042276315126355185
has_svg_tag,0.04092124307817695
first_line_pattern,0.039205659526481355
has_include,0.03700149898034485
has_public_word,0.03648222574558433
has_html_tag,0.034527232975837825
has_package,0.033436855465546
makefile_command_ratio,0.03310304794374339
has_import,0.032983674349560684
csv_like_line_ratio,0.032958441452515065
kw_dockerfile_ratio,0.03232246076116874
sql_statement_ratio,0.031049512114713542
has_namespace,0.029900353662024374
colon_key_value_ratio,0.029643224039953245
kw_rust_ratio,0.029345295281313695
js_import_from_count,0.02843737847873496
kw_swift_ratio,0.028008110365670375
html_tag_ratio,0.027937465571681322
kw_php_ratio,0.027365914255149743
has_def_word,0.02602897327264538
kw_lua_ratio,0.023368098669962565
kw_makefile_ratio,0.023318348927797834
quote_ratio,0.02204584303119396
makefile_variable_ratio,0.021729669915611757
dollar_ratio,0.018825087742456535
kw_kotlin_ratio,0.017348672897603223
kw_ruby_ratio,0.01685436046036275
equal_key_value_ratio,0.012668273239649083
colon_ratio,0.012106091863358566
paren_ratio,0.010782323087165799
kw_perl_ratio,0.008886827943979544
kw_perl_count,0.006492047189278236
indentation_line_ratio,0.006241275022608048
ts_type_annotation_count,0.006036620453296657
first_line_length,0.005333850731241795
kw_javascript_ratio,0.005191694148977513
brace_ratio,0.004501573415625961
at_ratio,0.004495419225845675
kw_csharp_ratio,0.004409625735179568
comment_line_ratio,0.004060412103471963
special_char_ratio,0.0038848045833579565
kw_scala_ratio,0.003671403999524199
sql_clause_count,0.0036051659988937555
markdown_list_ratio,0.0033332568502124718
hash_ratio,0.0032973742540157876
has_body_tag,0.003246442899436163
comma_ratio,0.002963100946391872
kw_python_ratio,0.0029472320293967617
underscore_ratio,0.002923773301883898
markdown_link_count,0.002718109260847178
kw_php_count,0.0027177034554326743
js_arrow_count,0.0024941817457156262
bracket_ratio,0.0023753293625156865
kw_r_ratio,0.002289348760031729
js_export_count,0.002245542021768132
tab_ratio,0.002001985297114877
max_line_length,0.001655872668668005
assignment_line_ratio,0.0015181833699796465
avg_line_length,0.0013138307045568844
num_chars,0.0012919228446966033
num_lines,0.0012090699221724468
kw_java_ratio,0.0010762518592598125
kw_javascript_count,0.0010249360309649129
has_class,0.0010167246948832136
empty_line_ratio,0.001005450941770569
kw_shell_ratio,0.0010040560034171636
makefile_target_ratio,0.0009062930806719902
js_require_count,0.000873081145904159
kw_sql_ratio,0.0008450325166080284
kw_typescript_ratio,0.00070625911488488
kw_r_count,0.0005951652125656816
kw_csharp_count,0.0005925167314695345
kw_cpp_ratio,0.0005809643950585637
kw_python_count,0.0005797585411950922
num_non_empty_lines,0.0005090761853189897
kw_ruby_count,0.0004813353140994815
kw_c_count,0.00041308228904703105
kw_sql_count,0.0003710452213147452
kw_cpp_count,0.0003655310862270741
kw_lua_count,0.0003105295126003166
has_shebang,0.00029992822056275245
kw_swift_count,0.00029992822056275245
kw_go_ratio,0.0002752012707836466
kw_scala_count,0.0001999521470418351
kw_dockerfile_count,0.00018176419453499294
kw_rust_count,0.00013824806514313586
has_square_brackets,0.00012742211565311466
markdown_heading_ratio,0.0001048606163899989
kw_shell_count,9.541162833807742e-05
has_semicolon,9.398347917545921e-05
kw_c_ratio,5.5376510247389384e-05
kw_kotlin_count,3.3239467742779504e-05
has_doctype,1.8552261065737338e-05
kw_latex_count,0.0
kw_makefile_count,0.0
markdown_code_fence_count,0.0
kw_go_count,0.0
kw_typescript_count,0.0
kw_java_count,0.0
ts_type_alias_count,0.0
ts_interface_count,0.0
js_console_count,0.0
has_function_word,0.0
has_curly_braces,0.0
has_mime_boundary,0.0
has_from_header,0.0
has_vcalendar,0.0
has_viewbox,0.0
has_xml_declaration,0.0
equal_ratio,0.0
kw_latex_ratio,0.0
