threshold,overall_accuracy,known_accuracy_after_rejection,unknown_recall,known_rejected_rate,unknown_accepted_rate,known_samples,unknown_samples
0.3,0.8279726084249844,0.896875,0.557711950970378,0.05625,0.44228804902962204,3840,979
0.4,0.8312927993359618,0.8598958333333333,0.7191011235955056,0.10677083333333333,0.2808988764044944,3840,979
0.5,0.8144843328491388,0.8075520833333333,0.8416751787538305,0.17213541666666668,0.15832482124616956,3840,979
0.6,0.7723594106661134,0.7364583333333333,0.9131767109295199,0.25364583333333335,0.08682328907048008,3840,979
0.7,0.7082382236978626,0.6447916666666667,0.9570990806945863,0.35260416666666666,0.04290091930541369,3840,979
0.8,0.6171404855779208,0.52421875,0.9816138917262512,0.47369791666666666,0.018386108273748723,3840,979
0.9,0.4841253372068894,0.353125,0.9979570990806946,0.64609375,0.0020429009193054137,3840,979
