threshold,overall_accuracy,known_accuracy_after_rejection,unknown_recall,known_rejected_rate,unknown_accepted_rate,known_samples,unknown_samples
0.3,0.752438265200249,0.9416666666666667,0.010214504596527068,0.0015625,0.9897854954034729,3840,979
0.4,0.7630213737289894,0.94140625,0.06332992849846783,0.0036458333333333334,0.9366700715015321,3840,979
0.5,0.7748495538493463,0.93984375,0.12768130745658834,0.008333333333333333,0.8723186925434117,3840,979
0.6,0.7858476862419589,0.9333333333333333,0.20735444330949948,0.020052083333333335,0.7926455566905005,3840,979
0.7,0.7970533305665076,0.928125,0.28294177732379977,0.030208333333333334,0.7170582226762002,3840,979
0.8,0.809919070346545,0.921875,0.3707865168539326,0.04088541666666667,0.6292134831460674,3840,979
0.9,0.8202946669433493,0.91015625,0.46782431052093976,0.05859375,0.5321756894790602,3840,979
0.95,0.8329528947914505,0.9013020833333333,0.5648621041879469,0.07265625,0.4351378958120531,3840,979
0.98,0.8393857646814692,0.8901041666666667,0.6404494382022472,0.08854166666666667,0.3595505617977528,3840,979
0.99,0.8429134675243827,0.878125,0.7048008171603677,0.10338541666666666,0.29519918283963226,3840,979
